name,restaurant_quality,restaurant_price,extra_info,nytimes_critics_pick,cuisine,lon,lat,location,yelp_review_count,yelp_rating,delivers
Eleven Madison Park,EXTRAORDINARY,VERY_EXPENSIVE,NYT Critic’s Pick4 starNew American$$$$Midtown South,TRUE,New American,-73.9872376,40.7416173,Midtown South,2180,4.5,FALSE
Jean-Georges,EXTRAORDINARY,VERY_EXPENSIVE,NYT Critic’s Pick4 starFrench$$$$Upper West Side,TRUE,French,-73.9815796,40.7690576,Upper West Side,1880,4.5,TRUE
Le Bernardin,EXTRAORDINARY,VERY_EXPENSIVE,NYT Critic’s Pick4 starFrench$$$$Midtown,TRUE,French,-73.98180479999999,40.7615691,Midtown,2536,4.5,FALSE
Misi,EXCELLENT,MODERATE,NYT Critic’s Pick3 starItalian$$Williamsburg,TRUE,Italian,-73.9671564,40.71338859999999,Williamsburg,304,4,FALSE
JuneBaby,EXCELLENT,MODERATE,NYT Critic’s Pick3 starSouthern$$Ravenna,TRUE,Southern,-122.304181,47.675966,Ravenna,NA,NA,FALSE
Razza,EXCELLENT,MODERATE,NYT Critic’s Pick3 starPizza$$,TRUE,Pizza,-74.044225,40.717761,NA,851,4,TRUE
Guan Fu Sichuan,EXCELLENT,MODERATE,NYT Critic’s Pick3 starChinese$$Flushing,TRUE,Chinese,-73.832538,40.7592508,Flushing,204,4,TRUE
Bad Saint,EXCELLENT,MODERATE,NYT Critic’s Pick3 starPhilippine$$Washington D.C.,TRUE,Philippine,-77.0280506,38.9302671,Washington D.C.,68,4,TRUE
Casa Mono,EXCELLENT,MODERATE,NYT Critic’s Pick3 starSpanish$$Gramercy Park,TRUE,Spanish,-73.9871361,40.7358936,Gramercy Park,1221,3.5,FALSE
Llama San,EXCELLENT,EXPENSIVE,"NYT Critic’s Pick3 starJapanese, Latin American$$$Greenwich Village",TRUE,"Japanese, Latin American",-74.00082789999999,40.7322744,Greenwich Village,112,4,FALSE
Rezdôra,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starItalian$$$Flatiron district,TRUE,Italian,-73.98904399999999,40.739083,Flatiron district,194,4,FALSE
701West,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$Times Square,TRUE,American,-73.984144,40.75927009999999,Times Square,23,4.5,FALSE
Frenchette,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starFrench$$$TriBeCa,TRUE,French,-74.0057546,40.7196654,TriBeCa,240,3.5,FALSE
Momofuku Ssam Bar,EXCELLENT,EXPENSIVE,"NYT Critic’s Pick3 starAmerican, Korean, Southeast Asian$$$East Village",TRUE,"American, Korean, Southeast Asian",-73.98571179999999,40.731665,East Village,2439,4,FALSE
Empellón,EXCELLENT,EXPENSIVE,"NYT Critic’s Pick3 starAmerican, Mexican$$$Midtown",TRUE,"American, Mexican",-73.9747222,40.7597222,Midtown,361,4,TRUE
Torishin,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starJapanese$$$Clinton,TRUE,Japanese,-73.987167,40.7650392,Clinton,292,4,FALSE
Cassia,EXCELLENT,EXPENSIVE,"NYT Critic’s Pick3 starAsian, Vietnamese$$$Santa Monica, Calif.",TRUE,"Asian, Vietnamese",-77.3441529,42.95719260000001,"Santa Monica, Calif.",NA,NA,FALSE
Lilia,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starItalian$$$Williamsburg,TRUE,Italian,-73.9524225,40.7175365,Williamsburg,792,4,FALSE
Cosme,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starModernist$$$Flatiron,TRUE,Modernist,-73.98835640000001,40.7395952,Flatiron,1055,3.5,TRUE
Blue Hill,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starNew American$$$Greenwich Village,TRUE,New American,-73.9996685,40.7320465,Greenwich Village,999,4.5,FALSE
Bâtard,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starModernist$$$TriBeCa,TRUE,Modernist,-74.0057489,40.7195598,TriBeCa,405,4,FALSE
Il Buco Alimentari e Vineria,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starItalian$$$NoHo,TRUE,Italian,-73.99254359999999,40.7264749,NoHo,537,3.5,FALSE
Corton,EXCELLENT,EXPENSIVE,"NYT Critic’s Pick3 starFrench, New American$$$TriBeCa",TRUE,"French, New American",-74.01202099999999,40.786535,TriBeCa,405,4,FALSE
Scarpetta,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starItalian$$$Chelsea,TRUE,Italian,-73.9857838,40.7444392,Chelsea,1904,4,FALSE
Esca,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starItalian$$$Clinton,TRUE,Italian,-73.9927134,40.7591997,Clinton,716,3,FALSE
Bar Room at the Modern,EXCELLENT,EXPENSIVE,NYT Critic’s Pick3 starNew American$$$Midtown East,TRUE,New American,-73.976753,40.761081,Midtown East,497,4,FALSE
Felidia,EXCELLENT,EXPENSIVE,3 starItalian$$$Midtown East,FALSE,Italian,-73.96511319999999,40.7603663,Midtown East,567,4,TRUE
Perry St.,EXCELLENT,EXPENSIVE,"3 starAsian, French$$$West Village",FALSE,"Asian, French",-74.0055024,40.7352188,West Village,936,4,FALSE
Jo Jo,EXCELLENT,EXPENSIVE,3 starFrench$$$Upper East Side,FALSE,French,-73.9657054,40.7650865,Upper East Side,151,4,FALSE
