name,rating,price,yelp_review_count,yelp_rating,longitude,latitude,delivers,location
1 Or 8,5.4,3,402,4,-73.9703551,40.6896859,FALSE,Fort Greene
10 Corso Como,5.8,3,72,4,-74.00278,40.707053,FALSE,Seaport District
12 Chairs,7,2,523,4,-74.0024,40.72759,TRUE,Hudson Square
15 Fox Place,7.6,3,115,4.5,-74.07251,40.73371,FALSE,Jersey City
2nd Floor Bar & Essen,7.9,3,71,4,-73.95436,40.76954,FALSE,Upper East Side
3 Guys Restaurant,7.2,2,93,3,-73.9640731811523,40.7741355895996,TRUE,Upper East Side
886,7.8,2,347,4,-73.98873,40.72877,TRUE,NoHo
ABC Cocina,8.4,3,902,4,-73.9892806964011,40.7379699846239,FALSE,Flatiron district
ABC Kitchen,7.4,4,2971,4,-73.989472,40.738085,FALSE,Flatiron district
Abuqir,8.3,1,127,5,-73.9110794,40.7683,TRUE,Astoria
Aburiya Kinnosuke,8.2,4,750,4,-73.972274,40.752583,FALSE,Midtown East
Acapulco Deli,7.5,1,5,3.5,-73.9271007,40.8649972,FALSE,Harlem
Achilles Heel,8.6,3,75,3.5,-73.95969,40.73318,FALSE,Greenpoint
Acme,6.7,3,402,3,-73.994069,40.727232,TRUE,NoHo
Agern,7.6,4,205,4,-73.9780961338684,40.7525286099337,FALSE,Murray Hill
Ai Fiori,7.7,4,1261,4,-73.9837835,40.7500752,FALSE,Koreatown
Aita,7.4,2,254,4,-73.966629,40.686412,FALSE,Fort Greene
Akdeniz,7.5,2,390,4,-73.9800018306885,40.756519714277,TRUE,Steinway
Al Di La,9,2,890,4,-73.981340475038,40.675332643247,FALSE,Park Slope
Aldea,5.7,3,609,4,-73.993801,40.738745,TRUE,Flatiron district
Almayass,7.9,3,428,4,-73.9887133176,40.7394642504,TRUE,Flatiron district
Amali,7.6,4,390,4,-73.9686296877489,40.7633557384716,TRUE,Midtown East
American Cut,7.9,4,583,4,-74.00994,40.71915,TRUE,TriBeCa
Ammazzacaffè,7.9,2,158,4.5,-73.9446243,40.7113172,TRUE,Williamsburg
An Choi,7.3,2,500,3.5,-73.99042,40.71798,TRUE,Little Italy
Añejo,7,3,383,4,-74.004417,40.7193829,TRUE,SoHo
Anella,7.9,2,416,4,-73.95786,40.73327,TRUE,Greenpoint
Angkor Cambodian Bistro,8.2,2,284,4.5,-73.95914,40.76226,FALSE,Midtown East
Antica Pesa,6.9,3,373,3.5,-73.95865,40.71884,TRUE,Williamsburg
ápizz,5.5,3,384,4,-73.99154,40.71456,FALSE,Chinatown
Aquagrill,7.9,3,1360,4,-74.0037010931698,40.7253545576709,FALSE,SoHo
Arcade Bakery,7.9,1,227,4.5,-74.0066022711227,40.7168697865532,FALSE,TriBeCa
Archie’s Bar & Pizza,7.7,2,6099,4,-73.9955956044561,40.7215934960083,TRUE,NoLIta
Ardesia,7,2,359,4,-73.9914581179619,40.7660831005947,FALSE,Times Square Theatre District
Artichoke,5,1,3958,4,-73.9839056828882,40.7321124557704,TRUE,Gramercy Park
Atoboy,7.6,3,361,4.5,-73.98456,40.74364,FALSE,NoMad
Atomix,8.8,4,74,4.5,-73.98286,40.74421,FALSE,Kips Bay
Au Cheval,8.3,3,469,4.5,-74.0015522,40.7183878,FALSE,Little Italy
Augustine,8.2,3,246,4,-74.006814,40.71141,FALSE,Financial District
